provider_id,provider_name,provider_region,provider_network_status,provider_contract_type,provider_risk_tier,provider_group,provider_start_date
P1000,Dr. John Smith,Midwest,Out-of-Network,Shared Savings,Medium,Group B,6/19/2019
P1001,Dr. Linda Miller,South,Out-of-Network,Shared Savings,Medium,Independent,3/10/2024
P1002,Dr. William Anderson,West,In-Network,Capitated,Medium,Group C,9/28/2024
P1003,Dr. Barbara Anderson,Midwest,Out-of-Network,Value-Based,Medium,Group C,10/19/2024
P1004,Dr. John Brown,South,Out-of-Network,Capitated,Medium,Group C,9/28/2025
P1005,Dr. James Thomas,Midwest,Out-of-Network,Capitated,High,Academic,12/16/2015
P1006,Dr. David Williams,Midwest,Out-of-Network,Fee-for-Service,High,Group B,5/12/2022
P1007,Dr. Patricia Thomas,Midwest,Out-of-Network,Capitated,Low,Group C,11/25/2025
P1008,Dr. Linda Brown,South,In-Network,Capitated,Medium,Group C,2/3/2016
P1009,Dr. William Johnson,Northeast,In-Network,Shared Savings,Medium,Group B,1/21/2023
P1010,Dr. John Davis,West,Out-of-Network,Capitated,Low,Academic,1/3/2025
P1011,Dr. Mary Thomas,Midwest,In-Network,Value-Based,Medium,Group C,12/15/2018
P1012,Dr. Barbara Johnson,Northeast,Out-of-Network,Capitated,Medium,Group A,10/18/2023
P1013,Dr. John Brown,Northeast,In-Network,Capitated,Low,Group C,4/29/2017
P1014,Dr. Jennifer Miller,Midwest,In-Network,Shared Savings,High,Independent,8/1/2023
P1015,Dr. James Garcia,South,Out-of-Network,Value-Based,Medium,Group B,8/12/2022
P1016,Dr. Linda Davis,West,In-Network,Fee-for-Service,Low,Academic,7/10/2023
P1017,Dr. Susan Anderson,South,Out-of-Network,Capitated,Low,Group B,5/30/2021
P1018,Dr. Elizabeth Anderson,West,In-Network,Capitated,High,Group B,12/11/2024
P1019,Dr. Robert Smith,Midwest,Out-of-Network,Shared Savings,High,Group C,2/22/2015
P1020,Dr. William Garcia,Northeast,Out-of-Network,Value-Based,High,Group C,8/6/2019
P1021,Dr. William Anderson,Midwest,In-Network,Shared Savings,Medium,Group C,4/24/2015
P1022,Dr. Patricia Davis,Midwest,In-Network,Fee-for-Service,Low,Academic,4/3/2019
P1023,Dr. John Williams,Midwest,In-Network,Shared Savings,Low,Independent,5/28/2023
P1024,Dr. Linda Anderson,South,In-Network,Capitated,High,Academic,8/19/2020
P1025,Dr. Elizabeth Miller,Midwest,Out-of-Network,Fee-for-Service,High,Group B,12/24/2023
P1026,Dr. David Taylor,West,In-Network,Shared Savings,Low,Group B,11/30/2024
P1027,Dr. James Wilson,Northeast,Out-of-Network,Shared Savings,Low,Academic,1/11/2019
P1028,Dr. Elizabeth Garcia,Midwest,In-Network,Value-Based,Medium,Group C,3/13/2017
P1029,Dr. Mary Brown,Midwest,Out-of-Network,Fee-for-Service,Medium,Group A,12/28/2024
P1030,Dr. Robert Jones,Northeast,Out-of-Network,Value-Based,High,Group A,2/20/2023
P1031,Dr. Richard Smith,Northeast,Out-of-Network,Capitated,Low,Academic,11/6/2025
P1032,Dr. Robert Davis,Midwest,In-Network,Shared Savings,Medium,Group B,8/25/2018
P1033,Dr. William Wilson,Midwest,In-Network,Capitated,Medium,Group B,12/17/2022
